id,title,body,department,sentiment
REV_0001,Colazione scarsa,"cucina molto fredda, scelta al menu povera.",F&B,negative
REV_0002,Ordine e pulizia,"Personale delle pulizie eccellente, igiene sempre fresca.",Housekeeping,positive
REV_0003,Reception pessima,"Errori nella prenotazione, reception inefficiente e arrogante.",Reception,negative
REV_0004,Stanza trascurata,"lenzuola con macchie, bagno macchiata, molto deluso.",Housekeeping,negative
REV_0005,Personale scortese,"check-in molto maleducato, problemi con la personale.",Reception,negative
REV_0006,Ristorante deludente,"La cucina era limitata, menu scarsa e poco invitante.",F&B,negative
REV_0007,Servizio altalenante,"Check-in veloce e camera spaziosa, ma ristorante deludente",Reception,positive
REV_0008,Stanza trascurata,"Standard igienico bassissimo, camera sporca.",Housekeeping,negative
REV_0009,Ristorante deludente,"cucina pessima, il cucina era limitata.",F&B,negative
REV_0010,Reception pessima,"receptionist molto scortese, problemi con la pagamento.",Reception,negative
REV_0011,Buffet ricchissimo,"cibo deliziosa, il ristorante era deliziosa.",F&B,positive
REV_0012,Check-in velocissimo,"Complimenti al check-in, sempre efficiente e disponibile.",Reception,positive
REV_0013,Colazione scarsa,"Deluso dalla menu, tutto povera e fredda.",F&B,negative
REV_0014,Cucina ottima,"colazione fresca, buffet veramente ottima.",F&B,positive
REV_0015,Camera impeccabile,"ordine splendida e bagno pulitissima, veramente soddisfatto della pulizia.",Housekeeping,positive
REV_0016,Reception pessima,"Il pagamento è stato disorganizzato, check-out gestito malissimo.",Reception,negative
REV_0017,"Pulizia ok, resto no",Stanza pulita ma colazione scarsa e personale freddo,Housekeeping,negative
REV_0018,Reception cordiale,"check-in cortese, ottima esperienza al momento del personale.",Reception,positive
REV_0019,Camera sporca,"Standard igienico bassissimo, asciugamani trascurata.",Housekeeping,negative
REV_0020,Personale eccellente,"Il reception è stato veloce, reception gestito in modo veloce.",Reception,positive
REV_0021,Cucina ottima,"cucina deliziosa, il buffet era buonissima.",F&B,positive
REV_0022,Potrebbe migliorare,Colazione buona ma lenzuola macchiate e reception disorganizzata,F&B,negative
REV_0023,Cibo delizioso,"buffet molto deliziosa, ampia scelta al ristorante.",F&B,positive
REV_0024,Ristorante eccellente,"La buffet era deliziosa, menu eccellente e di qualità.",F&B,positive
REV_0025,Pulizia pessima,"Pulizia inesistente, bagno completamente mal tenuta.",Housekeeping,negative
REV_0026,Pulizia pessima,"camera con macchie, asciugamani puzzolente, molto deluso.",Housekeeping,negative
REV_0027,Buffet ricchissimo,"La cibo era abbondante, caffè abbondante e di qualità.",F&B,positive
REV_0028,Buffet ricchissimo,"Complimenti per la caffè, tutto abbondante e buonissima.",F&B,positive
REV_0029,Servizio disorganizzato,"personale scortese, attesa interminabile per il check-out.",Reception,negative
REV_0030,Cucina scadente,"buffet fredda, il caffè era scadente.",F&B,negative
REV_0031,Cucina scadente,"La colazione era scadente, menu scadente e poco invitante.",F&B,negative
REV_0032,Igiene eccellente,"La camera era profumata, bagno splendida e tutto perfettamente in ordine.",Housekeeping,positive
REV_0033,Ordine e pulizia,"pulizia impeccabile e bagno pulita, veramente soddisfatto della pulizia.",Housekeeping,positive
REV_0034,Staff maleducato,"reception scortese, attesa interminabile per il personale.",Reception,negative
REV_0035,Buffet limitato,"menu scarsa, il cucina era povera.",F&B,negative
REV_0036,Cucina scadente,"menu di qualità fredda, menu pessima.",F&B,negative
REV_0037,Buffet limitato,"Deluso dalla cucina, tutto limitata e pessima.",F&B,negative
REV_0038,Stanza pulitissima,"asciugamani profumata, asciugamani profumate, tutto perfetto.",Housekeeping,positive
